order_id,status,event_timestamp,store_id,courier_id,customer_id,country_code,_loaded_at
ORD001,placed,2024-01-15 10:03:00,STR001,COU001,CUST001,DE,2024-01-15 10:03:05
ORD001,picking,2024-01-15 10:04:00,STR001,COU001,CUST001,DE,2024-01-15 10:04:05
ORD001,packed,2024-01-15 10:06:00,STR001,COU001,CUST001,DE,2024-01-15 10:06:05
ORD001,dispatched,2024-01-15 10:07:00,STR001,COU001,CUST001,DE,2024-01-15 10:07:05
ORD001,delivered,2024-01-15 10:18:00,STR001,COU001,CUST001,DE,2024-01-15 10:18:05
ORD002,placed,2024-01-15 10:10:00,STR001,COU002,CUST002,DE,2024-01-15 10:10:05
ORD002,picking,2024-01-15 10:11:00,STR001,COU002,CUST002,DE,2024-01-15 10:11:05
ORD002,packed,2024-01-15 10:13:00,STR001,COU002,CUST002,DE,2024-01-15 10:13:05
ORD002,dispatched,2024-01-15 10:14:00,STR001,COU002,CUST002,DE,2024-01-15 10:14:05
ORD002,delivered,2024-01-15 10:28:00,STR001,COU002,CUST002,DE,2024-01-15 10:28:05
ORD003,placed,2024-01-15 11:00:00,STR002,COU003,CUST003,NL,2024-01-15 11:00:05
ORD003,picking,2024-01-15 11:01:00,STR002,COU003,CUST003,NL,2024-01-15 11:01:05
ORD003,packed,2024-01-15 11:03:00,STR002,COU003,CUST003,NL,2024-01-15 11:03:05
ORD003,dispatched,2024-01-15 11:04:00,STR002,COU003,CUST003,NL,2024-01-15 11:04:05
ORD003,cancelled,2024-01-15 11:05:00,STR002,COU003,CUST003,NL,2024-01-15 11:05:05
ORD004,placed,2024-01-15 12:00:00,STR003,COU004,CUST004,DE,2024-01-15 12:00:05
ORD004,picking,2024-01-15 12:01:00,STR003,COU004,CUST004,DE,2024-01-15 12:01:05
ORD004,packed,2024-01-15 12:02:00,STR003,COU004,CUST004,DE,2024-01-15 12:02:05
ORD004,dispatched,2024-01-15 12:03:00,STR003,COU004,CUST004,DE,2024-01-15 12:03:05
ORD004,delivered,2024-01-15 12:04:00,STR003,COU004,CUST004,DE,2024-01-15 12:04:05
ORD005,placed,2024-01-15 13:00:00,STR001,COU001,CUST005,DE,2024-01-15 13:00:05
ORD005,picking,2024-01-15 13:01:00,STR001,COU001,CUST005,DE,2024-01-15 13:01:05
ORD005,packed,2024-01-15 13:03:00,STR001,COU001,CUST005,DE,2024-01-15 13:03:05
ORD005,dispatched,2024-01-15 13:04:00,STR001,COU001,CUST005,DE,2024-01-15 13:04:05
ORD005,delivered,2024-01-15 13:19:00,STR001,COU001,CUST005,DE,2024-01-15 13:19:05
ORD005,delivered,2024-01-15 13:19:00,STR001,COU001,CUST005,DE,2024-01-15 13:19:08
ORD006,placed,2024-01-15 14:00:00,STR002,COU005,CUST006,NL,2024-01-15 14:00:05
ORD006,picking,2024-01-15 14:01:30,STR002,COU005,CUST006,NL,2024-01-15 14:01:35
ORD006,packed,2024-01-15 14:04:00,STR002,COU005,CUST006,NL,2024-01-15 14:04:05
ORD006,dispatched,2024-01-15 14:05:00,STR002,COU005,CUST006,NL,2024-01-15 14:05:05
ORD006,delivered,2024-01-15 14:22:00,STR002,COU005,CUST006,NL,2024-01-15 14:22:05
